Reporting Area,MMWR Year,MMWR Week,"Malaria, Current week","Malaria, Current week, flag","Malaria, Previous 52 weeks Max†","Malaria, Previous 52 weeks Max†, flag","Malaria, Cum 2019†","Malaria, Cum 2019†, flag","Malaria, Cum 2018†","Malaria, Cum 2018†, flag","Measles§, Idigenousis, Current week","Measles§, Idigenousis, Current week, flag","Measles§, Idigenousis, Previous 52 weeks Max†","Measles§, Idigenousis, Previous 52 weeks Max†, flag","Measles§, Idigenousis, Cum 2019†","Measles§, Idigenousis, Cum 2019†, flag","Measles§, Idigenousis, Cum 2018†","Measles§, Idigenousis, Cum 2018†, flag","Measles§, Imported, Current week","Measles§, Imported, Current week, flag","Measles§, Imported, Previous 52 weeks Max†","Measles§, Imported, Previous 52 weeks Max†, flag","Measles§, Imported, Cum 2019†","Measles§, Imported, Cum 2019†, flag","Measles§, Imported, Cum 2018†","Measles§, Imported, Cum 2018†, flag",Location 1,Location 2,Reporting Area Sort
TEXAS,2019,23,,-,22,,3,,39,,,-,5,,10,,5,,,-,1,,4,,1,,"TEXAS
(31.447238, -99.317341)",,20192347
MOUNTAIN,2019,23,,-,4,,18,,24,,,-,1,,1,,,-,,-,1,,2,,1,,,MOUNTAIN,20192348
ARIZONA,2019,23,,-,3,,9,,8,,,-,0,,,-,,-,,-,1,,1,,,-,"ARIZONA
(34.293239, -111.664616)",,20192349
COLORADO,2019,23,,-,2,,4,,8,,,-,0,,,-,,-,,-,1,,1,,,-,"COLORADO
(38.998552, -105.547832)",,20192350
IDAHO,2019,23,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"IDAHO
(44.389073, -114.659366)",,20192351
MONTANA,2019,23,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.033521, -109.645127)",,20192352
NEVADA,2019,23,,-,2,,1,,1,,,-,0,,,-,,-,,-,1,,,-,1,,"NEVADA
(39.283294, -114.916992)",,20192353
NEW MEXICO,2019,23,,-,1,,1,,3,,,-,1,,1,,,-,,-,0,,,-,,-,"NEW MEXICO
(34.421369, -106.108388)",,20192354
UTAH,2019,23,,-,1,,3,,4,,,-,0,,,-,,-,,-,0,,,-,,-,"UTAH
(39.323779, -111.678222)",,20192355
WYOMING,2019,23,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"WYOMING
(42.999627, -107.55145)",,20192356
PACIFIC,2019,23,,-,40,,36,,46,,,-,14,,58,,8,,,-,4,,28,,8,,,PACIFIC,20192357
ALASKA,2019,23,,-,1,,2,,4,,,-,0,,,-,,-,,-,0,,,-,,-,"ALASKA
(63.631126, -151.631889)",,20192358
CALIFORNIA,2019,23,,-,5,,23,,37,,,-,9,,26,,8,,,-,4,,25,,8,,"CALIFORNIA
(37.211164, -119.662127)",,20192359
HAWAII,2019,23,,-,1,,1,,,-,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.361013, -157.854309)",,20192360
OREGON,2019,23,,-,1,,1,,5,,,-,4,,11,,,-,,-,1,,3,,,-,"OREGON
(43.940449, -120.605279)",,20192361
WASHINGTON,2019,23,,-,40,,9,,,-,,-,14,,21,,,-,,-,3,,,-,,-,"WASHINGTON
(47.411715, -120.592492)",,20192362
US TERRITORIES,2019,23,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20192363
AMERICAN SAMOA,2019,23,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20192364
NORTHERN MARIANA ISLANDS,2019,23,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20192365
GUAM,2019,23,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20192366
PUERTO RICO,2019,23,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20192367
U.S. VIRGIN ISLANDS,2019,23,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20192368
NON-US RESIDENTS,2019,23,,-,,NC,2,,,NP,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20192369
TOTAL,2019,23,5,,83,,420,,611,,1,,59,,537,,34,,6,,68,,334,,55,,,TOTAL,20192370
US RESIDENTS,2019,24,6,,83,,450,,651,,1,,59,,588,,35,,13,,68,,352,,58,,,US RESIDENTS,20192401
NEW ENGLAND,2019,24,1,,5,,36,,39,,1,,2,,3,,,-,,-,2,,7,,3,,,NEW ENGLAND,20192402
CONNECTICUT,2019,24,,-,1,,,-,6,,,-,2,,2,,,-,,-,1,,1,,3,,"CONNECTICUT
(41.575155, -72.738288)",,20192403
MAINE,2019,24,,-,3,,8,,3,,1,,0,,1,,,-,,-,1,,1,,,-,"MAINE
(45.117911, -69.06137)",,20192404
MASSACHUSETTS,2019,24,1,,4,,23,,22,,,-,0,,,-,,-,,-,2,,3,,,-,"MASSACHUSETTS
(42.151077, -71.481104)",,20192405
NEW HAMPSHIRE,2019,24,,-,1,,1,,3,,,-,0,,,-,,-,,-,1,,2,,,-,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20192406
RHODE ISLAND,2019,24,,-,2,,3,,4,,,-,0,,,-,,-,,-,0,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",,20192407
VERMONT,2019,24,,-,1,,1,,1,,,-,0,,,-,,-,,-,1,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20192408
MIDDLE ATLANTIC,2019,24,2,,24,,130,,159,,,-,52,,499,,1,,11,,65,,252,,13,,,MIDDLE ATLANTIC,20192409
NEW JERSEY,2019,24,,-,7,,34,,35,,,-,13,,9,,1,,,-,2,,5,,2,,"NEW JERSEY
(40.110253, -74.655514)",,20192410
NEW YORK,2019,24,1,,5,,15,,18,,,-,8,,20,,,-,11,,63,,182,,6,,"NEW YORK
(42.921241, -75.59655)",,20192411
NEW YORK CITY,2019,24,,-,11,,56,,62,,,-,52,,467,,,-,,-,11,,59,,3,,,NEW YORK CITY,20192412
PENNSYLVANIA,2019,24,1,,8,,25,,44,,,-,2,,3,,,-,,-,4,,6,,2,,"PENNSYLVANIA
(40.896694, -77.838886)",,20192413
EAST NORTH CENTRAL,2019,24,1,,9,,43,,77,,,-,2,,4,,,-,,-,18,,48,,5,,,EAST NORTH CENTRAL,20192414
ILLINOIS,2019,24,,-,4,,17,,31,,,-,2,,4,,,-,,-,1,,4,,2,,"ILLINOIS
(40.124144, -89.148632)",,20192415
INDIANA,2019,24,,-,1,,,-,6,,,-,0,,,-,,-,,-,1,,1,,1,,"INDIANA
(39.919991, -86.2818)",,20192416
MICHIGAN,2019,24,,-,3,,3,,11,,,-,0,,,-,,-,,-,17,,43,,2,,"MICHIGAN
(44.874798, -85.730977)",,20192417
OHIO,2019,24,1,,3,,22,,23,,,-,0,,,-,,-,,-,0,,,-,,-,"OHIO
(40.415534, -82.70936)",,20192418
WISCONSIN,2019,24,,-,2,,1,,6,,,-,0,,,-,,-,,-,0,,,-,,-,"WISCONSIN
(44.639954, -89.732969)",,20192419
WEST NORTH CENTRAL,2019,24,1,,6,,26,,53,,,-,0,,,-,20,,1,,1,,2,,15,,,WEST NORTH CENTRAL,20192420
IOWA,2019,24,,-,2,,8,,12,,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.074659, -93.500061)",,20192421
KANSAS,2019,24,,-,2,,3,,4,,,-,0,,,-,20,,,-,0,,,-,1,,"KANSAS
(38.484729, -98.38018)",,20192422
MINNESOTA,2019,24,,-,5,,,-,24,,,-,0,,,-,,-,,-,1,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",,20192423
MISSOURI,2019,24,1,,3,,7,,6,,,-,0,,,-,,-,1,,1,,2,,14,,"MISSOURI
(38.3675, -92.477244)",,20192424
NEBRASKA,2019,24,,-,2,,1,,2,,,-,0,,,-,,-,,-,0,,,-,,-,"NEBRASKA
(41.527099, -99.810595)",,20192425
NORTH DAKOTA,2019,24,,-,2,,6,,2,,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.446305, -100.46931)",,20192426
SOUTH DAKOTA,2019,24,,-,1,,1,,3,,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20192427
SOUTH ATLANTIC,2019,24,1,,20,,142,,192,,,-,4,,7,,,-,,-,3,,6,,5,,,SOUTH ATLANTIC,20192428
DELAWARE,2019,24,,-,3,,8,,7,,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20192429
DISTRICT OF COLUMBIA,2019,24,,-,2,,8,,8,,,-,0,,,-,,-,,-,0,,,-,1,,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20192430
FLORIDA,2019,24,,-,4,,18,,23,,,-,3,,1,,,-,,-,1,,2,,2,,"FLORIDA
(28.260731, -82.420978)",,20192431
GEORGIA,2019,24,,-,6,,11,,23,,,-,2,,3,,,-,,-,1,,1,,,-,"GEORGIA
(32.638481, -83.426574)",,20192432
MARYLAND,2019,24,1,,9,,53,,80,,,-,2,,2,,,-,,-,2,,2,,1,,"MARYLAND
(38.946466, -76.687282)",,20192433
NORTH CAROLINA,2019,24,,-,4,,12,,27,,,-,1,,,-,,-,,-,0,,,-,1,,"NORTH CAROLINA
(35.52603, -79.130883)",,20192434
SOUTH CAROLINA,2019,24,,-,0,,,-,,-,,-,2,,1,,,-,,-,1,,,-,,-,"SOUTH CAROLINA
(33.878572, -80.864614)",,20192435
VIRGINIA,2019,24,,-,5,,32,,21,,,-,0,,,-,,-,,-,1,,1,,,-,"VIRGINIA
(37.510861, -78.666382)",,20192436
WEST VIRGINIA,2019,24,,-,0,,,-,3,,,-,0,,,-,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.642579, -80.613729)",,20192437
EAST SOUTH CENTRAL,2019,24,,-,4,,8,,8,,,-,1,,1,,,-,,-,1,,1,,1,,,EAST SOUTH CENTRAL,20192438
ALABAMA,2019,24,,-,3,,1,,1,,,-,0,,,-,,-,,-,0,,,-,,-,"ALABAMA
(32.756889, -86.844516)",,20192439
KENTUCKY,2019,24,,-,2,,,-,4,,,-,1,,1,,,-,,-,1,,1,,,-,"KENTUCKY
(37.526683, -85.290484)",,20192440
MISSISSIPPI,2019,24,,-,1,,1,,1,,,-,0,,,-,,-,,-,0,,,-,,-,"MISSISSIPPI
(32.713378, -89.65344)",,20192441
TENNESSEE,2019,24,,-,2,,6,,2,,,-,0,,,-,,-,,-,0,,,-,1,,"TENNESSEE
(35.842998, -86.343226)",,20192442
WEST SOUTH CENTRAL,2019,24,,-,24,,5,,47,,,-,5,,13,,5,,,-,1,,6,,7,,,WEST SOUTH CENTRAL,20192443
ARKANSAS,2019,24,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,1,,"ARKANSAS
(34.899825, -92.439162)",,20192444
LOUISIANA,2019,24,,-,1,,2,,6,,,-,0,,,-,,-,,-,1,,,-,2,,"LOUISIANA
(30.921314, -91.840238)",,20192445
OKLAHOMA,2019,24,,-,2,,,-,2,,,-,2,,3,,,-,,-,1,,1,,3,,"OKLAHOMA
(35.583449, -97.508297)",,20192446
TEXAS,2019,24,,-,22,,3,,39,,,-,5,,10,,5,,,-,1,,5,,1,,"TEXAS
(31.447238, -99.317341)",,20192447
MOUNTAIN,2019,24,,-,5,,19,,28,,,-,1,,1,,,-,1,,1,,3,,1,,,MOUNTAIN,20192448
ARIZONA,2019,24,,-,3,,9,,8,,,-,0,,,-,,-,,-,1,,1,,,-,"ARIZONA
(34.293239, -111.664616)",,20192449
COLORADO,2019,24,,-,2,,4,,9,,,-,0,,,-,,-,,-,1,,1,,,-,"COLORADO
(38.998552, -105.547832)",,20192450
IDAHO,2019,24,,-,2,,,-,2,,,-,0,,,-,,-,1,,0,,1,,,-,"IDAHO
(44.389073, -114.659366)",,20192451
MONTANA,2019,24,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.033521, -109.645127)",,20192452
NEVADA,2019,24,,-,2,,2,,1,,,-,0,,,-,,-,,-,1,,,-,1,,"NEVADA
(39.283294, -114.916992)",,20192453
NEW MEXICO,2019,24,,-,1,,1,,3,,,-,1,,1,,,-,,-,0,,,-,,-,"NEW MEXICO
(34.421369, -106.108388)",,20192454
UTAH,2019,24,,-,1,,3,,4,,,-,0,,,-,,-,,-,0,,,-,,-,"UTAH
(39.323779, -111.678222)",,20192455
WYOMING,2019,24,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"WYOMING
(42.999627, -107.55145)",,20192456
PACIFIC,2019,24,,-,40,,41,,48,,,-,14,,60,,9,,,-,3,,27,,8,,,PACIFIC,20192457
ALASKA,2019,24,,-,1,,2,,4,,,-,0,,,-,,-,,-,0,,,-,,-,"ALASKA
(63.631126, -151.631889)",,20192458
CALIFORNIA,2019,24,,-,5,,28,,39,,,-,9,,28,,9,,,-,3,,24,,8,,"CALIFORNIA
(37.211164, -119.662127)",,20192459
HAWAII,2019,24,,-,1,,1,,,-,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.361013, -157.854309)",,20192460
OREGON,2019,24,,-,1,,1,,5,,,-,4,,11,,,-,,-,1,,3,,,-,"OREGON
(43.940449, -120.605279)",,20192461
WASHINGTON,2019,24,,-,40,,9,,,-,,-,14,,21,,,-,,-,3,,,-,,-,"WASHINGTON
(47.411715, -120.592492)",,20192462
US TERRITORIES,2019,24,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20192463
AMERICAN SAMOA,2019,24,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20192464
NORTHERN MARIANA ISLANDS,2019,24,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20192465
GUAM,2019,24,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20192466
PUERTO RICO,2019,24,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20192467
U.S. VIRGIN ISLANDS,2019,24,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20192468
NON-US RESIDENTS,2019,24,,-,,NC,2,,,NP,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20192469
TOTAL,2019,24,6,,83,,452,,651,,1,,59,,588,,35,,13,,68,,352,,58,,,TOTAL,20192470
US RESIDENTS,2019,25,7,,83,,469,,697,,,-,59,,606,,36,,4,,68,,357,,59,,,US RESIDENTS,20192501
NEW ENGLAND,2019,25,,-,5,,36,,43,,,-,2,,3,,,-,,-,2,,7,,3,,,NEW ENGLAND,20192502
CONNECTICUT,2019,25,,-,1,,,-,7,,,-,2,,2,,,-,,-,1,,1,,3,,"CONNECTICUT
(41.575155, -72.738288)",,20192503
MAINE,2019,25,,-,3,,8,,4,,,-,1,,1,,,-,,-,1,,1,,,-,"MAINE
(45.117911, -69.06137)",,20192504
MASSACHUSETTS,2019,25,,-,4,,23,,24,,,-,0,,,-,,-,,-,2,,3,,,-,"MASSACHUSETTS
(42.151077, -71.481104)",,20192505
NEW HAMPSHIRE,2019,25,,-,1,,1,,3,,,-,0,,,-,,-,,-,1,,2,,,-,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20192506
RHODE ISLAND,2019,25,,-,2,,3,,4,,,-,0,,,-,,-,,-,0,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",,20192507
VERMONT,2019,25,,-,1,,1,,1,,,-,0,,,-,,-,,-,1,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20192508
MIDDLE ATLANTIC,2019,25,,-,24,,135,,165,,,-,52,,517,,1,,4,,65,,256,,13,,,MIDDLE ATLANTIC,20192509
NEW JERSEY,2019,25,,-,7,,37,,36,,,-,13,,9,,1,,,-,2,,5,,2,,"NEW JERSEY
(40.110253, -74.655514)",,20192510
NEW YORK,2019,25,,-,5,,15,,18,,,-,8,,20,,,-,4,,63,,186,,6,,"NEW YORK
(42.921241, -75.59655)",,20192511
NEW YORK CITY,2019,25,,-,11,,57,,64,,,-,52,,485,,,-,,-,11,,59,,3,,,NEW YORK CITY,20192512
PENNSYLVANIA,2019,25,,-,8,,26,,47,,,-,2,,3,,,-,,-,4,,6,,2,,"PENNSYLVANIA
(40.896694, -77.838886)",,20192513
EAST NORTH CENTRAL,2019,25,2,,9,,46,,82,,,-,4,,4,,,-,,-,18,,49,,5,,,EAST NORTH CENTRAL,20192514
ILLINOIS,2019,25,,-,4,,18,,33,,,-,2,,4,,,-,,-,1,,5,,2,,"ILLINOIS
(40.124144, -89.148632)",,20192515
INDIANA,2019,25,,-,1,,,-,7,,,-,0,,,-,,-,,-,1,,1,,1,,"INDIANA
(39.919991, -86.2818)",,20192516
MICHIGAN,2019,25,,-,3,,3,,12,,,-,4,,,-,,-,,-,17,,43,,2,,"MICHIGAN
(44.874798, -85.730977)",,20192517
OHIO,2019,25,2,,3,,24,,24,,,-,0,,,-,,-,,-,0,,,-,,-,"OHIO
(40.415534, -82.70936)",,20192518
WISCONSIN,2019,25,,-,2,,1,,6,,,-,0,,,-,,-,,-,0,,,-,,-,"WISCONSIN
(44.639954, -89.732969)",,20192519
WEST NORTH CENTRAL,2019,25,,-,6,,26,,60,,,-,0,,,-,20,,,-,1,,2,,15,,,WEST NORTH CENTRAL,20192520
IOWA,2019,25,,-,2,,8,,12,,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.074659, -93.500061)",,20192521
KANSAS,2019,25,,-,2,,3,,5,,,-,0,,,-,20,,,-,0,,,-,1,,"KANSAS
(38.484729, -98.38018)",,20192522
MINNESOTA,2019,25,,-,5,,,-,27,,,-,0,,,-,,-,,-,1,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",,20192523
MISSOURI,2019,25,,-,3,,7,,6,,,-,0,,,-,,-,,-,1,,2,,14,,"MISSOURI
(38.3675, -92.477244)",,20192524
NEBRASKA,2019,25,,-,2,,1,,3,,,-,0,,,-,,-,,-,0,,,-,,-,"NEBRASKA
(41.527099, -99.810595)",,20192525
NORTH DAKOTA,2019,25,,-,2,,6,,3,,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.446305, -100.46931)",,20192526
SOUTH DAKOTA,2019,25,,-,1,,1,,4,,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20192527
SOUTH ATLANTIC,2019,25,4,,20,,147,,210,,,-,4,,7,,1,,,-,3,,6,,5,,,SOUTH ATLANTIC,20192528
DELAWARE,2019,25,,-,3,,8,,7,,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20192529
DISTRICT OF COLUMBIA,2019,25,,-,2,,8,,8,,,-,0,,,-,,-,,-,0,,,-,1,,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20192530
FLORIDA,2019,25,,-,4,,18,,26,,,-,3,,1,,,-,,-,1,,2,,2,,"FLORIDA
(28.260731, -82.420978)",,20192531
GEORGIA,2019,25,,-,6,,11,,29,,,-,2,,3,,,-,,-,1,,1,,,-,"GEORGIA
(32.638481, -83.426574)",,20192532
MARYLAND,2019,25,2,,9,,55,,89,,,-,2,,2,,,-,,-,2,,2,,1,,"MARYLAND
(38.946466, -76.687282)",,20192533
NORTH CAROLINA,2019,25,,-,4,,12,,27,,,-,1,,,-,1,,,-,0,,,-,1,,"NORTH CAROLINA
(35.52603, -79.130883)",,20192534
SOUTH CAROLINA,2019,25,,-,0,,,-,,-,,-,3,,1,,,-,,-,1,,,-,,-,"SOUTH CAROLINA
(33.878572, -80.864614)",,20192535
VIRGINIA,2019,25,2,,5,,35,,21,,,-,0,,,-,,-,,-,1,,1,,,-,"VIRGINIA
(37.510861, -78.666382)",,20192536
WEST VIRGINIA,2019,25,,-,0,,,-,3,,,-,0,,,-,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.642579, -80.613729)",,20192537
NON-US RESIDENTS,2019,25,,-,,NC,2,,,NP,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20192569
EAST SOUTH CENTRAL,2019,25,1,,4,,9,,9,,,-,1,,1,,,-,,-,1,,1,,1,,,EAST SOUTH CENTRAL,20192538
ALABAMA,2019,25,,-,3,,1,,1,,,-,0,,,-,,-,,-,0,,,-,,-,"ALABAMA
(32.756889, -86.844516)",,20192539
KENTUCKY,2019,25,,-,2,,,-,4,,,-,1,,1,,,-,,-,1,,1,,,-,"KENTUCKY
(37.526683, -85.290484)",,20192540
MISSISSIPPI,2019,25,,-,1,,1,,2,,,-,0,,,-,,-,,-,0,,,-,,-,"MISSISSIPPI
(32.713378, -89.65344)",,20192541
TENNESSEE,2019,25,1,,2,,7,,2,,,-,0,,,-,,-,,-,0,,,-,1,,"TENNESSEE
(35.842998, -86.343226)",,20192542
WEST SOUTH CENTRAL,2019,25,,-,24,,5,,49,,,-,5,,13,,5,,,-,1,,6,,7,,,WEST SOUTH CENTRAL,20192543
ARKANSAS,2019,25,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,1,,"ARKANSAS
(34.899825, -92.439162)",,20192544
LOUISIANA,2019,25,,-,1,,2,,6,,,-,0,,,-,,-,,-,0,,,-,2,,"LOUISIANA
(30.921314, -91.840238)",,20192545
OKLAHOMA,2019,25,,-,2,,,-,2,,,-,2,,3,,,-,,-,1,,1,,3,,"OKLAHOMA
(35.583449, -97.508297)",,20192546
TEXAS,2019,25,,-,22,,3,,41,,,-,5,,10,,5,,,-,1,,5,,1,,"TEXAS
(31.447238, -99.317341)",,20192547
MOUNTAIN,2019,25,,-,5,,22,,29,,,-,1,,1,,,-,,-,1,,3,,1,,,MOUNTAIN,20192548
ARIZONA,2019,25,,-,3,,11,,8,,,-,0,,,-,,-,,-,1,,1,,,-,"ARIZONA
(34.293239, -111.664616)",,20192549
COLORADO,2019,25,,-,2,,5,,9,,,-,0,,,-,,-,,-,1,,1,,,-,"COLORADO
(38.998552, -105.547832)",,20192550
IDAHO,2019,25,,-,1,,,-,2,,,-,0,,,-,,-,,-,1,,1,,,-,"IDAHO
(44.389073, -114.659366)",,20192551
MONTANA,2019,25,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.033521, -109.645127)",,20192552
NEVADA,2019,25,,-,2,,2,,1,,,-,0,,,-,,-,,-,1,,,-,1,,"NEVADA
(39.283294, -114.916992)",,20192553
NEW MEXICO,2019,25,,-,1,,1,,3,,,-,1,,1,,,-,,-,0,,,-,,-,"NEW MEXICO
(34.421369, -106.108388)",,20192554
UTAH,2019,25,,-,1,,3,,5,,,-,0,,,-,,-,,-,0,,,-,,-,"UTAH
(39.323779, -111.678222)",,20192555
WYOMING,2019,25,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"WYOMING
(42.999627, -107.55145)",,20192556
PACIFIC,2019,25,,-,40,,43,,50,,,-,14,,60,,9,,,-,3,,27,,9,,,PACIFIC,20192557
ALASKA,2019,25,,-,1,,2,,4,,,-,0,,,-,,-,,-,0,,,-,,-,"ALASKA
(63.631126, -151.631889)",,20192558
CALIFORNIA,2019,25,,-,5,,28,,41,,,-,9,,28,,9,,,-,3,,24,,8,,"CALIFORNIA
(37.211164, -119.662127)",,20192559
HAWAII,2019,25,,-,1,,1,,,-,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.361013, -157.854309)",,20192560
OREGON,2019,25,,-,1,,1,,5,,,-,4,,11,,,-,,-,1,,3,,1,,"OREGON
(43.940449, -120.605279)",,20192561
WASHINGTON,2019,25,,-,40,,11,,,-,,-,14,,21,,,-,,-,3,,,-,,-,"WASHINGTON
(47.411715, -120.592492)",,20192562
US TERRITORIES,2019,25,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20192563
AMERICAN SAMOA,2019,25,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20192564
NORTHERN MARIANA ISLANDS,2019,25,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20192565
GUAM,2019,25,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20192566
PUERTO RICO,2019,25,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20192567
U.S. VIRGIN ISLANDS,2019,25,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20192568
TOTAL,2019,25,7,,83,,471,,697,,,-,59,,606,,36,,4,,68,,357,,59,,,TOTAL,20192570
US RESIDENTS,2019,26,16,,83,,501,,741,,,-,60,,668,,38,,17,,68,,375,,60,,,US RESIDENTS,20192601
NEW ENGLAND,2019,26,3,,5,,40,,44,,,-,2,,3,,,-,,-,2,,7,,3,,,NEW ENGLAND,20192602
CONNECTICUT,2019,26,,-,1,,,-,7,,,-,2,,2,,,-,,-,1,,1,,3,,"CONNECTICUT
(41.575155, -72.738288)",,20192603
MAINE,2019,26,,-,3,,8,,5,,,-,1,,1,,,-,,-,1,,1,,,-,"MAINE
(45.117911, -69.06137)",,20192604
MASSACHUSETTS,2019,26,2,,4,,26,,24,,,-,0,,,-,,-,,-,2,,3,,,-,"MASSACHUSETTS
(42.151077, -71.481104)",,20192605
NEW HAMPSHIRE,2019,26,,-,1,,1,,3,,,-,0,,,-,,-,,-,1,,2,,,-,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20192606
RHODE ISLAND,2019,26,1,,2,,4,,4,,,-,0,,,-,,-,,-,0,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",,20192607
VERMONT,2019,26,,-,1,,1,,1,,,-,0,,,-,,-,,-,1,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20192608
MIDDLE ATLANTIC,2019,26,3,,24,,140,,176,,,-,53,,520,,1,,17,,65,,270,,14,,,MIDDLE ATLANTIC,20192609
NEW JERSEY,2019,26,,-,7,,38,,37,,,-,13,,12,,1,,,-,1,,2,,3,,"NEW JERSEY
(40.110253, -74.655514)",,20192610
NEW YORK,2019,26,3,,5,,18,,21,,,-,8,,20,,,-,16,,63,,202,,6,,"NEW YORK
(42.921241, -75.59655)",,20192611
NEW YORK CITY,2019,26,,-,11,,57,,70,,,-,52,,485,,,-,,-,11,,59,,3,,,NEW YORK CITY,20192612
PENNSYLVANIA,2019,26,,-,8,,27,,48,,,-,2,,3,,,-,1,,4,,7,,2,,"PENNSYLVANIA
(40.896694, -77.838886)",,20192613
EAST NORTH CENTRAL,2019,26,1,,9,,47,,91,,,-,4,,4,,1,,,-,18,,49,,5,,,EAST NORTH CENTRAL,20192614
ILLINOIS,2019,26,,-,4,,18,,37,,,-,2,,4,,1,,,-,1,,5,,2,,"ILLINOIS
(40.124144, -89.148632)",,20192615
INDIANA,2019,26,,-,1,,,-,8,,,-,0,,,-,,-,,-,1,,1,,1,,"INDIANA
(39.919991, -86.2818)",,20192616
MICHIGAN,2019,26,,-,3,,3,,13,,,-,4,,,-,,-,,-,17,,43,,2,,"MICHIGAN
(44.874798, -85.730977)",,20192617
